Sno,Wardno Name,Circleno Name,Zone,Assessor Address,Latitude,Longitude,Category
153,1-KAPRA,1-KAPRA,EAST ZONE,ASHA HOSPITAL,17.4837413,78.5581344,HOSPITALS
154,1-KAPRA,1-KAPRA,EAST ZONE,Dr RAJUS VETERNARY HOSPITAL,17.4935391,78.5420244,HOSPITALS
155,1-KAPRA,1-KAPRA,EAST ZONE,SRINIVASA HOSPITAL,17.4937023,78.5400136,HOSPITALS
156,1-KAPRA,3-CHERLAPALLY,EAST ZONE,S.K REDDY HOSPITAL,17.4820109,78.5765783,HOSPITALS
157,1-KAPRA,3-CHERLAPALLY,EAST ZONE,VENKATESWARA HOSPITAL,17.4792716,78.5741306,HOSPITALS
158,1-KAPRA,3-CHERLAPALLY,EAST ZONE,XENIA HOSPITAL,17.4727134,78.5713525,HOSPITALS
159,1-KAPRA,3-CHERLAPALLY,EAST ZONE,TULASI HOSPITAL,17.4748716,78.5708607,HOSPITALS
160,1-KAPRA,4-MEERPET H.B.COLONY,EAST ZONE,LIONS CLUB EYE HOSPITAL,17.4571389,78.5631028,HOSPITALS
161,1-KAPRA,2-DR.A.S.RAO NAGAR,EAST ZONE,JUBLI CHILDREN HOSPITAL,17.4747458,78.5628981,HOSPITALS
162,1-KAPRA,2-DR.A.S.RAO NAGAR,EAST ZONE,Dr.NAGARJUNA CHILDREN HOSPITAL,17.4761573,78.5639949,HOSPITALS
163,1-KAPRA,2-DR.A.S.RAO NAGAR,EAST ZONE,RAGHAVENDRA HOSPITAL,17.4748351,78.5678487,HOSPITALS
164,1-KAPRA,2-DR.A.S.RAO NAGAR,EAST ZONE,SANJEEVANI HOSPITAL,17.4679063,78.5729685,HOSPITALS
165,1-KAPRA,2-DR.A.S.RAO NAGAR,EAST ZONE,ARC HOSPITAL,17.4715448,78.5676116,HOSPITALS
166,1-KAPRA,2-DR.A.S.RAO NAGAR,EAST ZONE,LIFE LINE POLY CLINIC,17.4772406,78.5563967,HOSPITALS
167,1-KAPRA,2-DR.A.S.RAO NAGAR,EAST ZONE,Dr.AS RAO CLINIC,17.4800236,78.5564889,HOSPITALS
168,1-KAPRA,2-DR.A.S.RAO NAGAR,EAST ZONE,POULOMI HOSPITAL,17.4825213,78.5528754,HOSPITALS
169,10-FALAKNUMA,53-DOODBOWLI,not assigned,BANDLA GUDA-NEW,17.355615,78.4647491,ANGANWADI CENTERS
170,10-FALAKNUMA,54-JAHANUMA,not assigned,DOPAHAD SHA DARGA-NEW,17.3475147,78.4612398,ANGANWADI CENTERS
171,10-FALAKNUMA,46-FALAKNUMA,not assigned,FATHIMA NAGAR-NEW,17.3259452,78.4632824,ANGANWADI CENTERS
172,10-FALAKNUMA,46-FALAKNUMA,not assigned,GUNTASHA BABA NAGAR-NEW,17.3207012,78.458531,ANGANWADI CENTERS
173,10-FALAKNUMA,46-FALAKNUMA,not assigned,AMJAD DAULA VIKALANGULA COLONY-NEW,17.3237709,78.4666478,ANGANWADI CENTERS
